source,kind,spieltag,match_index,pred_home,pred_away,collected_at
wettanbieter.de,site,1,0,2,1,2026-06-12T23:49:47+00:00
wettfreunde:tipster_a,tipster,1,0,2,0,2026-06-12T23:49:47+00:00
wettfreunde:KI,ai,1,0,2,1,2026-06-12T23:49:47+00:00
wettfreunde:tipster_b,tipster,1,0,2,0,2026-06-12T23:49:47+00:00
wettfreunde:tipster_c,tipster,1,0,2,1,2026-06-12T23:49:47+00:00
wettfreunde:tipster_d,tipster,1,0,1,0,2026-06-12T23:49:47+00:00
wettanbieter.de,site,1,1,1,1,2026-06-12T23:49:47+00:00
wettfreunde:tipster_a,tipster,1,1,1,1,2026-06-12T23:49:47+00:00
wettfreunde:KI,ai,1,1,1,1,2026-06-12T23:49:47+00:00
wettfreunde:tipster_b,tipster,1,1,0,1,2026-06-12T23:49:47+00:00
wettfreunde:tipster_c,tipster,1,1,0,0,2026-06-12T23:49:47+00:00
wettfreunde:tipster_d,tipster,1,1,1,1,2026-06-12T23:49:47+00:00
eurosport.fr,site,1,2,1,0,2026-06-12T23:49:47+00:00
wettanbieter.de,site,1,2,1,1,2026-06-12T23:49:47+00:00
wettfreunde:tipster_a,tipster,1,2,1,1,2026-06-12T23:49:47+00:00
wettfreunde:KI,ai,1,2,2,1,2026-06-12T23:49:47+00:00
wettfreunde:tipster_b,tipster,1,2,1,1,2026-06-12T23:49:47+00:00
wettfreunde:tipster_c,tipster,1,2,0,1,2026-06-12T23:49:47+00:00
wettfreunde:tipster_d,tipster,1,2,0,1,2026-06-12T23:49:47+00:00
eurosport.fr,site,1,3,1,0,2026-06-12T23:49:47+00:00
wettanbieter.de,site,1,3,2,0,2026-06-12T23:49:47+00:00
wettfreunde:tipster_a,tipster,1,3,2,1,2026-06-12T23:49:47+00:00
wettfreunde:KI,ai,1,3,2,0,2026-06-12T23:49:47+00:00
wettfreunde:tipster_b,tipster,1,3,2,0,2026-06-12T23:49:47+00:00
wettfreunde:tipster_c,tipster,1,3,1,1,2026-06-12T23:49:47+00:00
wettfreunde:tipster_d,tipster,1,3,0,0,2026-06-12T23:49:47+00:00
wettanbieter.de,site,1,4,0,2,2026-06-12T23:49:47+00:00
wettfreunde:tipster_a,tipster,1,4,0,2,2026-06-12T23:49:47+00:00
wettfreunde:KI,ai,1,4,0,2,2026-06-12T23:49:47+00:00
wettfreunde:tipster_b,tipster,1,4,0,3,2026-06-12T23:49:47+00:00
wettfreunde:tipster_c,tipster,1,4,0,2,2026-06-12T23:49:47+00:00
wettfreunde:tipster_d,tipster,1,4,0,2,2026-06-12T23:49:47+00:00
wettanbieter.de,site,1,5,2,1,2026-06-12T23:49:47+00:00
wettfreunde:tipster_a,tipster,1,5,2,2,2026-06-12T23:49:47+00:00
wettfreunde:KI,ai,1,5,2,1,2026-06-12T23:49:47+00:00
wettfreunde:tipster_b,tipster,1,5,2,1,2026-06-12T23:49:47+00:00
wettfreunde:tipster_c,tipster,1,5,2,2,2026-06-12T23:49:47+00:00
wettfreunde:tipster_d,tipster,1,5,2,0,2026-06-12T23:49:47+00:00
wettanbieter.de,site,1,6,0,2,2026-06-12T23:49:47+00:00
wettfreunde:tipster_a,tipster,1,6,0,3,2026-06-12T23:49:47+00:00
wettfreunde:KI,ai,1,6,0,2,2026-06-12T23:49:47+00:00
wettfreunde:tipster_b,tipster,1,6,0,2,2026-06-12T23:49:47+00:00
wettfreunde:tipster_c,tipster,1,6,0,0,2026-06-12T23:49:47+00:00
wettfreunde:tipster_d,tipster,1,6,0,1,2026-06-12T23:49:47+00:00
wettanbieter.de,site,1,7,1,2,2026-06-12T23:49:47+00:00
wettfreunde:tipster_a,tipster,1,7,1,1,2026-06-12T23:49:47+00:00
wettfreunde:KI,ai,1,7,1,2,2026-06-12T23:49:47+00:00
wettfreunde:tipster_b,tipster,1,7,1,2,2026-06-12T23:49:47+00:00
wettfreunde:tipster_c,tipster,1,7,1,2,2026-06-12T23:49:47+00:00
wettfreunde:tipster_d,tipster,1,7,1,1,2026-06-12T23:49:47+00:00
